CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
50108302,COFFEE AVENUE,Queens,34-56,33 STREET,11106.0,7182556362,Greek,12/31/2025,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,9.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.75762536438,-73.92671085512,401.0,22.0,5700.0,4008178.0,4006090001.0,QN70,POINT (-73.926710855117 40.757625364375)
41014554,STARBUCKS,Manhattan,4,COLUMBUS CIRCLE,10019.0,2122650658,Coffee/Tea,12/31/2025,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,8.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.76755879912,-73.98279772338,104.0,3.0,13900.0,1026054.0,1010480033.0,MN15,POINT (-73.982797723376 40.767558799116)
50147580,BLOSSOM’S SOUL FOOD FUSION,Brooklyn,911,DEKALB AVENUE,11221.0,9294176387,Soul Food,12/31/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,33.0,C,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.69261533624,-73.94056494738,303.0,36.0,28100.0,3049575.0,3017770040.0,BK35,POINT (-73.940564947382 40.692615336244)
41627202,DUNKIN',Brooklyn,1700,CHURCH AVENUE,11226.0,6462854020,Donuts,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.64909838646,-73.96390537073,314.0,40.0,51200.0,3117075.0,3050970079.0,BK42,POINT (-73.96390537073 40.649098386461)
50119647,WENDY'S,Bronx,5805,BROADWAY,10463.0,7184508809,American,12/31/2025,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,8.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.88471226254,-73.90086399351,208.0,11.0,28500.0,2083831.0,2057650710.0,BX29,POINT (-73.900863993507 40.884712262538)
41686215,SHUN WANG,Queens,81-25,BROADWAY,11373.0,7187793330,Chinese,12/31/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,26.0,B,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.74309702962,-73.88325164814,404.0,25.0,26902.0,4307385.0,4015097501.0,QN29,POINT (-73.883251648136 40.743097029615)
50132634,AUTHENTIC FLAVAZ,Brooklyn,1377,EAST NEW YORK AVENUE,11212.0,7189751121,Caribbean,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.66933367793,-73.9176232255,316.0,41.0,36100.0,3039538.0,3014740045.0,BK79,POINT (-73.9176232255 40.669333677926)
40391639,MCDONALD'S,Bronx,85,BRUCKNER BOULEVARD,10454.0,7187421804,Hamburgers,12/31/2025,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.8061355576,-73.92579752369,201.0,8.0,1900.0,2000562.0,2022960026.0,BX39,POINT (-73.925797523693 40.806135557598)
50156385,YORK COFFEE AND CREPERIE,Manhattan,404,EAST   69 STREET,10021.0,6468327230,Coffee/Tea,12/31/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,27.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.76565538468,-73.95694319537,108.0,5.0,11600.0,1045578.0,1014630045.0,MN31,POINT (-73.956943195374 40.76565538468)
50152508,EL RANCHITO CAFE,Brooklyn,6012,NEW UTRECHT AVENUE,11219.0,7183695000,Spanish,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.62752729111,-73.99659921387,312.0,44.0,19200.0,3141315.0,3057190041.0,BK88,POINT (-73.996599213873 40.627527291107)
41474984,TASTE OF CHINA,Queens,71-00,GRAND AVENUE,11378.0,7188989500,Chinese,12/31/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,8.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.72780642275,-73.89216136821,405.0,30.0,49302.0,4062728.0,4027970016.0,QN30,POINT (-73.892161368206 40.727806422746)
50160869,JUICY KING CRAB EXPRESS,Queens,179-37,HILLSIDE AVENUE,11432.0,7185230513,Chinese,12/31/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,40.0,Z,12/31/2025,08/27/2026,Cycle Inspection / Re-inspection,40.71277571167,-73.78328924561,408.0,24.0,46600.0,4212922.0,4099370048.0,QN06,POINT (-73.783289245608 40.712775711666)
50142455,CAFE 48,Queens,212-09,48 AVENUE,11364.0,9172387795,Chinese,12/31/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26.0,,,08/27/2026,Cycle Inspection / Initial Inspection,40.75530268925,-73.7689470673,411.0,19.0,144700.0,4157308.0,4073290047.0,QN46,POINT (-73.768947067302 40.755302689246)
40394037,WHITE CASTLE,Queens,175-28,HILLSIDE AVENUE,11432.0,7186576470,Hamburgers,12/31/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,12/31/2025,08/27/2026,Cycle Inspection / Initial Inspection,40.71183374829,-73.78741885678,412.0,27.0,46200.0,4210393.0,4098340020.0,QN61,POINT (-73.787418856784 40.711833748286)
