grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-14740_8147,40.7387374186225,-73.7017696578675,4,20.25,3,0,5.5060487,0
-14740_8150,40.751885666234166,-73.7027662910525,12,19.5,10,2,74.70157,1
-14741_8145,40.72741270333,-73.70962096637,1,28.0,1,1,4.8766365,1
-14741_8147,40.73716121249,-73.70912645209556,9,13.777777777777779,6,0,6.369927,0
-14741_8149,40.7491412418,-73.708017263198,5,14.8,4,2,58.710842,1
-14741_8150,40.75333817794,-73.70679326534,1,12.0,1,0,63.1082,0
-14742_8145,40.727094759627505,-73.7128009527125,4,6.25,4,0,8.999193,0
-14742_8147,40.73641204983,-73.712578418325,4,15.25,3,0,6.8594804,0
-14742_8149,40.74604107781715,-73.7138166082943,7,18.142857142857142,7,0,18.822906,0
-14742_8151,40.75928106641,-73.71349187688,2,23.0,2,1,61.210815,1
-14743_8145,40.72579144965833,-73.71917570427833,6,19.666666666666668,6,0,13.938728,0
-14743_8147,40.73540345957333,-73.71722739946667,3,10.0,3,0,6.164739,0
-14743_8148,40.7437905838675,-73.7180626023525,4,20.25,3,0,10.223379,0
-14743_8149,40.74506583577,-73.71568251236,1,9.0,1,0,10.223379,0
-14744_8144,40.72483036725,-73.72276595447,3,8.0,3,0,18.976845,0
-14744_8145,40.725122337836666,-73.72167757212999,3,14.0,3,1,18.113317,1
-14744_8148,40.74242382731333,-73.72177462985,3,25.666666666666668,3,1,15.019828,1
-14744_8152,40.76154436565,-73.72309145254,1,12.0,1,0,21.720823,0
-14745_8134,40.674162754950004,-73.72878215413999,2,11.0,2,0,27.730524,0
-14745_8138,40.69086416976,-73.72794047396,2,29.5,2,0,20.829458,0
-14745_8144,40.72380595677,-73.72632268348,1,10.0,1,0,17.878798,0
-14745_8145,40.726433513595,-73.72781454816,2,81.0,2,0,17.069712,0
-14745_8150,40.75457176298,-73.7284661342,1,40.0,1,1,11.717164,1
-14745_8152,40.7638744251625,-73.72670792145,4,10.75,4,0,24.358187,0
-14746_8132,40.664812738168,-73.734928976864,5,10.8,5,1,35.857876,1
-14746_8133,40.6653047707,-73.73146804504199,5,11.6,5,0,32.935966,0
-14746_8134,40.674121571545,-73.7308164865325,4,11.75,3,2,29.93111,1
-14746_8138,40.6928229715425,-73.7327781319625,4,15.5,3,0,11.794388,0
-14746_8142,40.71256818049333,-73.73304105168667,3,8.333333333333334,3,1,42.0866,1
-14746_8143,40.71955056421667,-73.73328473433334,3,7.666666666666667,3,1,34.99839,1
-14746_8144,40.720565590475005,-73.73207031084499,2,15.0,2,1,31.7043,1
-14746_8145,40.727376495464995,-73.731369936465,2,10.0,2,0,18.774094,0
-14746_8152,40.760437809705,-73.73138648951667,6,20.333333333333332,5,0,11.16815,0
-14746_8154,40.77184261622715,-73.73448718753427,7,14.285714285714286,6,1,33.34791,1
-14747_8132,40.660281312483335,-73.73937423793167,6,12.833333333333334,5,1,47.750843,1
-14747_8133,40.666613757099995,-73.73666663716,4,11.25,2,0,30.57711,0
-14747_8134,40.6744589119625,-73.7360091510975,4,16.25,3,0,26.590305,0
-14747_8135,40.67539411341333,-73.73836620082666,3,13.666666666666666,1,0,22.564209,0
-14747_8138,40.69403896086,-73.7366543601275,4,24.25,3,0,8.794247,0
-14747_8140,40.70478623265,-73.73999124873,1,5.0,1,0,4.7391057,0
-14747_8141,40.70537864227,-73.73978695013,3,26.666666666666668,3,0,4.7391067,0
-14747_8142,40.71363907230091,-73.73689602991,11,15.909090909090908,6,0,39.658913,0
-14747_8143,40.71765579928417,-73.73747366202583,12,17.166666666666668,10,3,49.372635,1
-14747_8145,40.728604625710005,-73.736629084335,2,5.0,2,0,28.157175,0
-14747_8146,40.733433846855,-73.73653414676,2,5.5,2,0,26.864517,0
-14747_8151,40.75553629446,-73.73839912487,1,13.0,1,0,6.5662966,0
-14747_8153,40.768691118567645,-73.73717689123941,17,10.823529411764707,11,1,24.092543,1
-14747_8154,40.770771448825556,-73.73540706375111,9,15.555555555555555,7,1,31.56731,1
-14748_8127,40.636898139340005,-73.74066033843,2,6.5,2,1,81.35842,1
-14748_8135,40.67662649580875,-73.7419896956125,8,17.625,5,0,25.49466,0
-14748_8139,40.696240600585,-73.74335209093167,6,17.333333333333332,5,1,2.12457,1
-14748_8143,40.717120957860004,-73.74065720937,3,34.333333333333336,1,0,40.3696,0
-14748_8145,40.7267043650925,-73.7413765784825,4,7.0,4,1,32.830837,1
-14748_8146,40.73038528389667,-73.74379136190333,3,11.0,3,0,25.18824,0
-14748_8153,40.76537808331,-73.74406055406,1,25.0,1,0,28.638306,0
-14748_8154,40.774509006,-73.74242225191,1,5.0,1,0,41.218,0
-14749_8120,40.602655718985,-73.74941691303499,2,7.5,2,0,2.6020753,0
-14749_8127,40.63748504344,-73.7453384428,1,13.0,1,1,81.35842,1
-14749_8135,40.677978611332,-73.74593311749399,5,14.6,4,1,27.60751,1
-14749_8139,40.695837488536,-73.747018076138,5,13.8,4,0,1.4677943,0
-14749_8140,40.70350093095,-73.74952148215,1,36.0,1,0,0.7025634,0
-14749_8141,40.707550246,-73.74987050322,1,33.0,1,0,1.2076052,0
-14749_8143,40.715558616652,-73.747459497824,5,15.2,5,0,8.664467,0
-14749_8145,40.72868225719666,-73.74651838304,3,8.333333333333334,3,0,27.722689,0
-14749_8147,40.73624460026444,-73.74701233856334,9,12.666666666666666,8,1,33.379562,1
-14749_8152,40.76389146298,-73.74951008908,1,21.0,1,0,40.859653,0
-14749_8153,40.766968829966665,-73.746402830525,6,14.666666666666666,6,0,26.716429,0
-14750_8119,40.59651619454875,-73.7536431582425,8,10.75,7,0,3.8547251,0
