grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-7370_4072,40.72741270333,-73.70962096637,1,28.0,1,0,4.47269,0
-7370_4073,40.7376461989923,-73.70686282310231,13,15.76923076923077,7,0,6.10201,0
-7370_4074,40.7491412418,-73.708017263198,5,14.8,4,0,11.796893,0
-7370_4075,40.75199739790385,-73.70307605830538,13,18.923076923076923,11,0,11.130129,0
-7371_4072,40.726312773646,-73.71662580365201,10,14.3,9,0,3.0985491,0
-7371_4073,40.73597979686286,-73.7145708388143,7,13.0,5,0,3.8408215,0
-7371_4074,40.74520964299666,-73.7153874316525,12,18.083333333333332,11,0,8.657576,0
-7371_4075,40.75928106641,-73.71349187688,2,23.0,2,0,17.782646,0
-7372_4067,40.674162754950004,-73.72878215413999,2,11.0,2,0,2.7543309,0
-7372_4069,40.69086416976,-73.72794047396,2,29.5,2,0,2.7391417,0
-7372_4072,40.72517012213555,-73.72392026217777,9,26.444444444444443,9,0,5.0952725,0
-7372_4074,40.74242382731333,-73.72177462985,3,25.666666666666668,3,0,5.0114613,0
-7372_4075,40.75457176298,-73.7284661342,1,40.0,1,0,27.226639,0
-7372_4076,40.76340841326,-73.725984627668,5,11.0,4,0,43.264397,0
-7373_4066,40.663936522382,-73.735744854288,20,11.7,10,0,2.5240088,0
-7373_4067,40.67459129766091,-73.73476374118182,11,13.909090909090908,5,0,1.6776409,0
-7373_4069,40.69343096620125,-73.734716246045,8,19.875,5,0,1.3171349,0
-7373_4070,40.705230539865,-73.73983802478,4,21.25,3,0,3.0411696,0
-7373_4071,40.71580191796034,-73.73636267694414,29,14.793103448275861,14,0,2.2593188,0
-7373_4072,40.72551557055,-73.73335644388168,6,10.0,6,0,3.7259114,0
-7373_4073,40.733433846855,-73.73653414676,2,5.5,2,0,3.5824213,0
-7373_4075,40.75553629446,-73.73839912487,1,13.0,1,1,66.581764,1
-7373_4076,40.766538081473044,-73.73566635165956,23,13.304347826086957,13,2,66.49641,1
-7373_4077,40.77124008456375,-73.73500461790626,16,15.0,11,0,64.61763,0
-7374_4060,40.602655718985,-73.74941691303499,2,7.5,2,0,2.0535874,0
-7374_4063,40.637093774040004,-73.74221970655334,3,8.666666666666666,2,0,0.3910616,0
-7374_4067,40.67714654024077,-73.74350639633616,13,16.46153846153846,7,0,0.99452746,0
-7374_4069,40.69605736783546,-73.74501844784363,11,15.727272727272727,8,0,1.7756472,0
-7374_4070,40.705525588475,-73.74969599268499,2,34.5,1,0,1.7270224,0
-7374_4071,40.716144494605004,-73.74490863965374,8,22.375,5,0,3.1082668,0
-7374_4072,40.727552033137144,-73.74358020900715,7,7.571428571428571,7,0,6.373698,0
-7374_4073,40.7347797711725,-73.74620709439833,12,12.25,9,0,16.01834,0
-7374_4076,40.76638531576125,-73.74649845328625,8,16.75,7,1,78.36957,1
-7374_4077,40.774509006,-73.74242225191,1,5.0,1,0,71.86306,0
