grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-14740_8147,40.738737418622,-73.7017696578665,4,20.75,3,0,7.085486,0
-14740_8150,40.751885666235005,-73.70276629105301,12,18.5,10,1,56.454296,1
-14741_8145,40.72741270333,-73.70962096637,1,28.0,1,0,16.179232,0
-14741_8147,40.73712809384891,-73.70927370718236,11,13.090909090909092,8,0,9.201338,0
-14741_8149,40.7491412418,-73.7080172631964,5,14.6,4,0,40.100815,0
-14741_8150,40.753338177941,-73.706793265343,1,11.0,1,0,33.05266,0
-14742_8145,40.727094759626,-73.7128009527095,4,7.75,4,0,28.557852,0
-14742_8147,40.73665819446033,-73.71222612182383,6,18.333333333333332,5,0,13.018333,0
-14742_8149,40.74604107781814,-73.713816608294,7,18.285714285714285,7,1,15.953641,1
-14742_8151,40.759281066406,-73.713491876883,2,17.0,2,0,7.510299,0
-14743_8145,40.72588321938442,-73.71880971488899,7,22.0,7,1,48.372787,1
-14743_8147,40.735403459572666,-73.71722739946632,3,10.0,3,0,15.790751,0
-14743_8148,40.7437647684914,-73.7181125144474,5,31.8,4,0,10.0078535,0
-14743_8149,40.745065835768,-73.71568251236,1,9.0,1,0,10.0078535,0
-14744_8144,40.72483036725166,-73.72276595447067,3,7.666666666666667,3,0,21.32175,0
-14744_8145,40.72512188475625,-73.72167937794976,4,15.5,3,0,37.27779,0
-14744_8148,40.74242589462825,-73.7217782299695,4,20.0,3,0,9.560375,0
-14744_8152,40.761544365648,-73.723091452536,1,12.0,1,0,2.1863587,0
-14745_8134,40.674162754949506,-73.728782154139,2,6.0,2,0,3.0155826,0
-14745_8138,40.6908641697575,-73.7279404739605,2,29.5,2,0,1.3500855,0
-14745_8144,40.72380595677,-73.72632268348,1,10.0,1,0,17.14837,0
-14745_8145,40.726433513594,-73.7278145481595,2,6.5,2,0,21.75192,0
-14745_8150,40.75457176298,-73.7284661342,1,40.0,1,0,2.1792712,0
-14745_8152,40.7638744251645,-73.72670792145,4,10.25,4,0,7.127469,0
-14746_8132,40.66480897463229,-73.73492930084058,7,10.142857142857142,6,0,0.31290612,0
-14746_8133,40.66531085882483,-73.731332487969,6,11.833333333333334,6,0,1.1088526,0
-14746_8134,40.67412157154475,-73.73081648653125,4,12.25,3,0,1.5689473,0
-14746_8138,40.6926294944224,-73.732321845023,5,12.5,3,0,0.29727504,0
-14746_8142,40.71256818049434,-73.73304105168667,3,8.666666666666666,3,0,0.2769395,0
-14746_8143,40.719550564218,-73.733284734334,3,9.0,3,0,1.8816242,0
-14746_8144,40.7205655904715,-73.7320703108455,2,16.0,2,0,2.3727727,0
-14746_8145,40.7273764954645,-73.73136993646551,2,10.0,2,1,21.148329,1
-14746_8152,40.7604378097045,-73.731386489516,6,18.2,5,0,3.1823483,0
-14746_8154,40.7718120880215,-73.73451155083838,8,12.875,7,0,40.465565,0
-14747_8132,40.66028131248233,-73.73937423793068,6,12.833333333333334,5,0,0.30032465,0
-14747_8133,40.6666137570995,-73.7366666371605,4,8.75,2,0,0.6606988,0
-14747_8134,40.674449393698,-73.7359879186162,5,20.8,3,0,2.020952,0
-14747_8135,40.6754735262155,-73.73858550178724,4,13.666666666666666,2,1,10.385351,1
-14747_8138,40.694249306167336,-73.73731526067384,6,10.8,5,0,0.2673788,0
-14747_8140,40.704786232645,-73.739991248728,1,5.0,1,0,0.053566717,0
-14747_8141,40.705378642272336,-73.73978695012967,3,18.666666666666668,3,0,0.053566717,0
-14747_8142,40.713657853263584,-73.73679809516283,12,15.5,6,0,0.18560013,0
-14747_8143,40.717655799285005,-73.73747366202657,12,17.0,10,0,0.28941652,0
-14747_8145,40.728604625707504,-73.736629084333,2,8.5,2,0,11.786715,0
-14747_8146,40.733433846855,-73.73653414676,2,5.5,2,0,24.636381,0
-14747_8151,40.755536294462,-73.738399124866,1,7.0,1,0,3.726744,0
-14747_8153,40.76859151082184,-73.73729686976232,19,13.944444444444445,11,1,36.88095,1
-14747_8154,40.7707741598555,-73.7354056490107,10,15.5,8,0,42.670826,0
-14748_8127,40.636898139343,-73.7406603384275,2,11.5,2,0,0.042351194,0
-14748_8135,40.67652073852282,-73.74167571592164,11,17.7,6,0,2.4465652,0
-14748_8139,40.69624060058417,-73.74335209092966,6,14.333333333333334,5,0,0.03282564,0
-14748_8143,40.71712095785967,-73.74065720936868,3,16.333333333333332,1,0,0.2947038,0
-14748_8145,40.7267043650915,-73.74137657848075,4,7.0,4,0,2.3065615,0
-14748_8146,40.73038528389534,-73.743791361904,3,14.0,3,0,8.33,0
-14748_8153,40.7653781034395,-73.7440695790495,2,13.0,2,0,48.012867,0
-14748_8154,40.774509005998,-73.742422251905,1,12.0,1,0,47.81142,0
-14749_8120,40.602655718989,-73.7494169130365,2,26.0,2,0,10.138427,0
-14749_8127,40.637485043437,-73.745338442796,1,7.0,1,0,0.042351194,0
-14749_8133,40.665444572668,-73.747066025894,1,2.0,1,0,0.35445708,0
-14749_8135,40.6779881058455,-73.74596492757333,6,17.0,4,0,2.3507657,0
-14749_8139,40.69583844371,-73.7470362240255,6,12.4,5,0,0.04175334,0
-14749_8140,40.703500930952,-73.749521482152,1,47.0,1,0,0.03538322,0
-14749_8141,40.707550246002,-73.749870503217,1,13.0,1,0,0.098320715,0
-14749_8143,40.715609978581,-73.747226028954,6,8.4,6,0,0.7028538,0
-14749_8145,40.728326375124496,-73.74715294044375,4,13.0,4,0,8.84849,0
-14749_8147,40.736244600264,-73.74701233856267,9,11.444444444444445,8,1,39.964382,1
-14749_8152,40.76389146298,-73.749510089084,1,21.0,1,0,43.26647,0
-14749_8153,40.766968829963666,-73.74640283052733,6,17.166666666666668,6,1,46.18706,1
-14750_8119,40.59651619454962,-73.75364315824187,8,9.375,7,1,13.612175,1
-14750_8120,40.603001742062226,-73.75271497260191,22,21.904761904761905,10,0,10.138427,0
-14750_8121,40.60584051591433,-73.75380998124301,3,10.666666666666666,3,0,10.138427,0
