grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-9212_5092,40.7387374186225,-73.7017696578675,4,20.25,3,0,43.463116,0
-9212_5093,40.751885666234166,-73.7027662910525,12,19.5,10,1,67.17373,1
-9213_5090,40.72765130975,-73.71008896187,2,18.5,2,0,50.03498,0
-9213_5092,40.737104209356,-73.709390922023,10,13.9,6,0,41.235905,0
-9213_5093,40.7491412418,-73.708017263198,5,14.8,4,0,50.981487,0
-9213_5094,40.75333817794,-73.70679326534,1,12.0,1,0,59.42868,0
-9214_5090,40.726137535587775,-73.71730011990556,9,14.88888888888889,8,1,54.057068,1
-9214_5091,40.73540345957333,-73.71722739946667,3,10.0,3,0,41.513573,0
-9214_5092,40.74000738212167,-73.71558043459,6,15.0,5,0,46.23223,0
-9214_5093,40.74572538237778,-73.71441212158,9,19.22222222222222,9,0,42.7351,0
-9214_5094,40.75928106641,-73.71349187688,2,23.0,2,0,10.098108,0
-9215_5086,40.69086416976,-73.72794047396,2,29.5,2,0,27.50003,0
-9215_5090,40.72499755334375,-73.723334544375,8,24.25,8,0,43.81313,0
-9215_5092,40.74242382731333,-73.72177462985,3,25.666666666666668,3,0,25.154362,0
-9215_5095,40.76340841326,-73.725984627668,5,11.0,4,0,0.054041915,0
-9216_5083,40.66506181431546,-73.73343069989181,11,10.545454545454545,8,0,0.01560487,0
-9216_5084,40.674201879133335,-73.73201034445667,9,13.88888888888889,7,0,0.00864669,0
-9216_5086,40.693001867774,-73.73334231262399,5,16.8,3,0,29.209774,0
-9216_5089,40.71540157238214,-73.73455828648785,14,14.0,8,0,57.08508,0
-9216_5090,40.724486968869996,-73.731097299844,5,18.8,5,0,18.544697,0
-9216_5091,40.72841477101,-73.73582885504,1,2.0,1,0,14.790544,0
-9216_5094,40.75457176298,-73.7284661342,1,40.0,1,0,1.6452358,0
-9216_5095,40.760437809705,-73.73138648951667,6,20.333333333333332,5,0,0.03668533,0
-9216_5096,40.77132084190467,-73.73493688804867,15,15.2,10,0,0.0065055583,0
-9217_5079,40.636898139340005,-73.74066033843,2,6.5,2,0,0.00041225186,0
-9217_5082,40.660281312483335,-73.73937423793167,6,12.833333333333334,5,0,0.016266301,0
-9217_5083,40.667120871756666,-73.73697131978666,3,13.666666666666666,2,0,0.008970756,0
-9217_5084,40.676047505115456,-73.74029678567909,11,16.363636363636363,4,0,0.010224583,0
