cuisine,grid_size,n_grids,n_pos,pos_ratio,test_acc,test_f1,test_auc,test_auc_std
American,0.005,1939,1066,0.5497679216090768,0.7229665071770335,0.705898987351946,0.7235867848066488,0.003498724169632682
Chinese,0.005,1939,934,0.481691593604951,0.6665071770334929,0.7017910350511324,0.6774634931585604,0.008503964023753714
Pizza,0.005,1939,872,0.44971634863331617,0.6985645933014354,0.6444771033703955,0.6912031835205992,0.002862819102335562
Coffee/Tea,0.005,1939,674,0.3476018566271274,0.7645933014354067,0.6031974412333256,0.7307017543859649,0.004706617550731257
Mexican,0.005,1939,535,0.27591542031975247,0.737799043062201,0.6000096264368795,0.7502358490566039,0.0023443374729904703
Bakery Products/Desserts,0.005,1939,487,0.25116039195461576,0.7727272727272727,0.5693710130297327,0.7701292102206737,0.005450635048912622
Chicken,0.005,1939,487,0.25116039195461576,0.6913875598086124,0.5679867656041278,0.7483455242075931,0.006389389177235846
Latin American,0.005,1939,476,0.24548736462093862,0.7287081339712919,0.5833616870042724,0.7510880503144653,0.004205062206281433
Donuts,0.005,1939,437,0.22537390407426508,0.6899521531100479,0.4749326168130157,0.6867820117680022,0.004697371456794309
Italian,0.005,1939,386,0.19907168643630738,0.8861244019138755,0.6437501638915621,0.8478734228734229,0.0015661750344768178
Japanese,0.005,1939,409,0.2109334708612687,0.798086124401914,0.5812892279889678,0.7956552482715272,0.008021834528158384
Caribbean,0.005,1939,361,0.18617844249613202,0.760287081339713,0.6504052941002242,0.8227446882619296,0.0016262790010350262
Hamburgers,0.005,1939,345,0.17792676637441981,0.6516746411483254,0.49308621253658724,0.7503167420814479,0.0040301598443339874
Sandwiches,0.005,1939,325,0.16761217122227953,0.7784688995215311,0.4660061639614879,0.7393088145035647,0.005767700590520656
"Juice, Smoothies, Fruit Salads",0.005,1939,353,0.1820526044352759,0.8334928229665071,0.581737558086029,0.8279967895755631,0.004307398081625987
Spanish,0.008,1051,245,0.23311132254995243,0.7610619469026548,0.630026078934235,0.7588673621460507,0.012834682013438984
Asian/Asian Fusion,0.008,1051,182,0.1731684110371075,0.7380530973451328,0.48960851535164734,0.7680179506357516,0.01253854816216948
Thai,0.008,1051,157,0.1493815413891532,0.8070796460176991,0.49069673097787636,0.8370049504950495,0.002213928690593853
Indian,0.008,1051,148,0.14081826831588962,0.8646017699115044,0.5898378378378378,0.9053544656243308,0.001349070338682704
Korean,0.01,739,95,0.12855209742895804,0.8297297297297298,0.5435786435786435,0.79609375,0.0032682032286487327
